The selection results revealed that mutants harboring insertions in five genes ( ompR, envZ, znuA, znuC, and yfiM) were the most abundant.	"ompR	81	85	Protein"	"envZ	87	91	Protein"	"znuA	93	97	Protein"	"znuC	99	103	Protein"	"yfiM	109	113	Protein"	"[{""token"": ""ompR"", ""start_span"": 81, ""end_span"": 85, ""type"": ""Protein""}, {""token"": ""envZ"", ""start_span"": 87, ""end_span"": 91, ""type"": ""Protein""}, {""token"": ""znuA"", ""start_span"": 93, ""end_span"": 97, ""type"": ""Protein""}, {""token"": ""znuC"", ""start_span"": 99, ""end_span"": 103, ""type"": ""Protein""}, {""token"": ""yfiM"", ""start_span"": 109, ""end_span"": 113, ""type"": ""Protein""}]"
Ongoing work will determine how the gene products of yfiM, znuA, and znuC contribute to this signaling pathway, either through Envz / OmpR or through a parallel pathway.	"yfiM	53	57	Protein"	"znuA	59	63	Protein"	"znuC	69	73	Protein"	"Envz	127	131	Protein"	"OmpR	134	138	Protein"	"[{""token"": ""yfiM"", ""start_span"": 53, ""end_span"": 57, ""type"": ""Protein""}, {""token"": ""znuA"", ""start_span"": 59, ""end_span"": 63, ""type"": ""Protein""}, {""token"": ""znuC"", ""start_span"": 69, ""end_span"": 73, ""type"": ""Protein""}, {""token"": ""Envz"", ""start_span"": 127, ""end_span"": 131, ""type"": ""Protein""}, {""token"": ""OmpR"", ""start_span"": 134, ""end_span"": 138, ""type"": ""Protein""}]"
In addition, iolH, iolJ and iolK, present in L. casei, are not present in OG1RF, nor are iolH and iolK present in the C. perfringens iol operon.	"iolH	13	17	Protein"	"iolJ	19	23	Protein"	"iolK	28	32	Protein"	"iolH	89	93	Protein"	"iolK	98	102	Protein"	"[{""token"": ""iolH"", ""start_span"": 13, ""end_span"": 17, ""type"": ""Protein""}, {""token"": ""iolJ"", ""start_span"": 19, ""end_span"": 23, ""type"": ""Protein""}, {""token"": ""iolK"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Protein""}, {""token"": ""iolH"", ""start_span"": 89, ""end_span"": 93, ""type"": ""Protein""}, {""token"": ""iolK"", ""start_span"": 98, ""end_span"": 102, ""type"": ""Protein""}]"
In V583, the fourth gene of this operon ( corresponding to OG1RF _ 0148) is interrupted by phage 4 ( EF1896 - EF2043); in addition, EF1984 contains a premature stop codon not found in the corresponding gene in OG1RF ( OG1RF _ 0228).	"OG1RF _ 0148	59	71	Protein"	"EF1896	101	107	Protein"	"EF2043	110	116	Protein"	"EF1984	132	138	Protein"	"OG1RF _ 0228	218	230	Protein"	"[{""token"": ""OG1RF _ 0148"", ""start_span"": 59, ""end_span"": 71, ""type"": ""Protein""}, {""token"": ""EF1896"", ""start_span"": 101, ""end_span"": 107, ""type"": ""Protein""}, {""token"": ""EF2043"", ""start_span"": 110, ""end_span"": 116, ""type"": ""Protein""}, {""token"": ""EF1984"", ""start_span"": 132, ""end_span"": 138, ""type"": ""Protein""}, {""token"": ""OG1RF _ 0228"", ""start_span"": 218, ""end_span"": 230, ""type"": ""Protein""}]"
In studies performed in different GAS serotype strains, RopB has variably been suggested to be involved in the regulation of other GAS genes including those associated with metabolism of non - glucose carbohydrates and amino acids [ 25], [ 26], response to thermal and oxidative stress [ 25], [ 27] and the expression of virulence factors including DNases ( MF - 1 and MF - 3) and hemolysins ( streptolysin S and streptolysin O) [ 26], [ 28], [ 29].	"RopB	56	60	Protein"	"MF - 1	358	364	Protein"	"MF - 3	369	375	Protein"	"streptolysin S	394	408	Protein"	"streptolysin O	413	427	Protein"	"[{""token"": ""RopB"", ""start_span"": 56, ""end_span"": 60, ""type"": ""Protein""}, {""token"": ""MF - 1"", ""start_span"": 358, ""end_span"": 364, ""type"": ""Protein""}, {""token"": ""MF - 3"", ""start_span"": 369, ""end_span"": 375, ""type"": ""Protein""}, {""token"": ""streptolysin S"", ""start_span"": 394, ""end_span"": 408, ""type"": ""Protein""}, {""token"": ""streptolysin O"", ""start_span"": 413, ""end_span"": 427, ""type"": ""Protein""}]"
Sequence analysis of clinical isolate 5628 reveals intact speB and covR / S but mutation in ropB M1T1 GAS clinical isolate 5628 was found on screening to lack SpeB activity by azocasein assay.	"speB	58	62	Protein"	"covR	67	71	Protein"	"S	74	75	Protein"	"ropB	92	96	Protein"	"SpeB	159	163	Protein"	"[{""token"": ""speB"", ""start_span"": 58, ""end_span"": 62, ""type"": ""Protein""}, {""token"": ""covR"", ""start_span"": 67, ""end_span"": 71, ""type"": ""Protein""}, {""token"": ""S"", ""start_span"": 74, ""end_span"": 75, ""type"": ""Protein""}, {""token"": ""ropB"", ""start_span"": 92, ""end_span"": 96, ""type"": ""Protein""}, {""token"": ""SpeB"", ""start_span"": 159, ""end_span"": 163, ""type"": ""Protein""}]"
Western blot detected SpeB in overnight culture supernatants of 5628R +, containing the intact ropB allele, but not in the clinical isolate 5628 nor the isogenic mutant 5628RDeltaSpeB, containing the intact ropB allele but lacking speB ( Fig. 1B).	"SpeB	22	26	Protein"	"ropB	95	99	Protein"	"5628RDeltaSpeB	169	183	Protein"	"ropB	207	211	Protein"	"speB	231	235	Protein"	"[{""token"": ""SpeB"", ""start_span"": 22, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""ropB"", ""start_span"": 95, ""end_span"": 99, ""type"": ""Protein""}, {""token"": ""5628RDeltaSpeB"", ""start_span"": 169, ""end_span"": 183, ""type"": ""Protein""}, {""token"": ""ropB"", ""start_span"": 207, ""end_span"": 211, ""type"": ""Protein""}, {""token"": ""speB"", ""start_span"": 231, ""end_span"": 235, ""type"": ""Protein""}]"
We have shown that in M1T1 GAS, when the covR / S locus is intact and DNase Sda1 activity is unaffected, ropB point mutation results in reduced virulence in vivo, despite inactivation of SpeB activity.	"covR	41	45	Protein"	"S	48	49	Protein"	"Sda1	76	80	Protein"	"ropB	105	109	Protein"	"SpeB	187	191	Protein"	"[{""token"": ""covR"", ""start_span"": 41, ""end_span"": 45, ""type"": ""Protein""}, {""token"": ""S"", ""start_span"": 48, ""end_span"": 49, ""type"": ""Protein""}, {""token"": ""Sda1"", ""start_span"": 76, ""end_span"": 80, ""type"": ""Protein""}, {""token"": ""ropB"", ""start_span"": 105, ""end_span"": 109, ""type"": ""Protein""}, {""token"": ""SpeB"", ""start_span"": 187, ""end_span"": 191, ""type"": ""Protein""}]"
CovR / S is a global regulator, whose inactivation is linked to an invasive phenotype and involves up - regulation of many genes encoding virulence factors such as streptodornase, streptokinase, streptolysin O, streptococcal inhibitor of complement and the hyaluronic acid capsule synthesis operon [ 37].	"CovR	0	4	Protein"	"S	7	8	Protein"	"streptodornase	164	178	Protein"	"streptokinase	180	193	Protein"	"streptolysin O	195	209	Protein"	"[{""token"": ""CovR"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""S"", ""start_span"": 7, ""end_span"": 8, ""type"": ""Protein""}, {""token"": ""streptodornase"", ""start_span"": 164, ""end_span"": 178, ""type"": ""Protein""}, {""token"": ""streptokinase"", ""start_span"": 180, ""end_span"": 193, ""type"": ""Protein""}, {""token"": ""streptolysin O"", ""start_span"": 195, ""end_span"": 209, ""type"": ""Protein""}]"
Of note, the additional virulence factors streptokinase and M1 protein, are both up - regulated in covR / S mutant M1T1 strains [ 37], but not in the ropB mutant under investigation in this study.	"streptokinase	42	55	Protein"	"M1	60	62	Protein"	"covR	99	103	Protein"	"S	106	107	Protein"	"ropB	150	154	Protein"	"[{""token"": ""streptokinase"", ""start_span"": 42, ""end_span"": 55, ""type"": ""Protein""}, {""token"": ""M1"", ""start_span"": 60, ""end_span"": 62, ""type"": ""Protein""}, {""token"": ""covR"", ""start_span"": 99, ""end_span"": 103, ""type"": ""Protein""}, {""token"": ""S"", ""start_span"": 106, ""end_span"": 107, ""type"": ""Protein""}, {""token"": ""ropB"", ""start_span"": 150, ""end_span"": 154, ""type"": ""Protein""}]"
The RNA - binding protein SmpB specifically interacts with the sRNA tmRNA ( also known as ssrA and 10Sa) and is required for all known functions of tmRNA [ 11].	"SmpB	26	30	Protein"	"tmRNA	68	73	Protein"	"ssrA	90	94	Protein"	"10Sa	99	103	Protein"	"tmRNA	148	153	Protein"	"[{""token"": ""SmpB"", ""start_span"": 26, ""end_span"": 30, ""type"": ""Protein""}, {""token"": ""tmRNA"", ""start_span"": 68, ""end_span"": 73, ""type"": ""Protein""}, {""token"": ""ssrA"", ""start_span"": 90, ""end_span"": 94, ""type"": ""Protein""}, {""token"": ""10Sa"", ""start_span"": 99, ""end_span"": 103, ""type"": ""Protein""}, {""token"": ""tmRNA"", ""start_span"": 148, ""end_span"": 153, ""type"": ""Protein""}]"
The direction of regulation of many of these proteins was in general agreement with the literature including OmpF, DppA, FliC, SurA, and LuxS as shown in Table S3.	"OmpF	109	113	Protein"	"DppA	115	119	Protein"	"FliC	121	125	Protein"	"SurA	127	131	Protein"	"LuxS	137	141	Protein"	"[{""token"": ""OmpF"", ""start_span"": 109, ""end_span"": 113, ""type"": ""Protein""}, {""token"": ""DppA"", ""start_span"": 115, ""end_span"": 119, ""type"": ""Protein""}, {""token"": ""FliC"", ""start_span"": 121, ""end_span"": 125, ""type"": ""Protein""}, {""token"": ""SurA"", ""start_span"": 127, ""end_span"": 131, ""type"": ""Protein""}, {""token"": ""LuxS"", ""start_span"": 137, ""end_span"": 141, ""type"": ""Protein""}]"
Our proteomics results showed that HtrA protein levels were strongly up - regulated in the Deltahfq mutant relative to wildtype in LB Log, while OsmY and STM1513 were strongly down - regulated in the Deltahfq mutant relative to wildtype in AMM - 1 and LB Stat respectively.	"HtrA	35	39	Protein"	"Deltahfq	91	99	Protein"	"OsmY	145	149	Protein"	"STM1513	154	161	Protein"	"Deltahfq	200	208	Protein"	"[{""token"": ""HtrA"", ""start_span"": 35, ""end_span"": 39, ""type"": ""Protein""}, {""token"": ""Deltahfq"", ""start_span"": 91, ""end_span"": 99, ""type"": ""Protein""}, {""token"": ""OsmY"", ""start_span"": 145, ""end_span"": 149, ""type"": ""Protein""}, {""token"": ""STM1513"", ""start_span"": 154, ""end_span"": 161, ""type"": ""Protein""}, {""token"": ""Deltahfq"", ""start_span"": 200, ""end_span"": 208, ""type"": ""Protein""}]"
Western blot analysis of the relative protein levels of each of HtrA, OsmY, STM1513, FliC, and YciF ( Figure S2) served to further verify our global proteomics measurements.	"HtrA	64	68	Protein"	"OsmY	70	74	Protein"	"STM1513	76	83	Protein"	"FliC	85	89	Protein"	"YciF	95	99	Protein"	"[{""token"": ""HtrA"", ""start_span"": 64, ""end_span"": 68, ""type"": ""Protein""}, {""token"": ""OsmY"", ""start_span"": 70, ""end_span"": 74, ""type"": ""Protein""}, {""token"": ""STM1513"", ""start_span"": 76, ""end_span"": 83, ""type"": ""Protein""}, {""token"": ""FliC"", ""start_span"": 85, ""end_span"": 89, ""type"": ""Protein""}, {""token"": ""YciF"", ""start_span"": 95, ""end_span"": 99, ""type"": ""Protein""}]"
Overall Hfq has a much stronger global effect on Salmonella protein translation than SmpB which is in agreement with the large number of regulatory sRNAs that serve as guides for Hfq translational modulation as opposed to the single regulatory sRNA ( i. e. tmRNA) that requires SmpB for activity.	"Hfq	8	11	Protein"	"SmpB	85	89	Protein"	"Hfq	179	182	Protein"	"tmRNA	257	262	Protein"	"SmpB	278	282	Protein"	"[{""token"": ""Hfq"", ""start_span"": 8, ""end_span"": 11, ""type"": ""Protein""}, {""token"": ""SmpB"", ""start_span"": 85, ""end_span"": 89, ""type"": ""Protein""}, {""token"": ""Hfq"", ""start_span"": 179, ""end_span"": 182, ""type"": ""Protein""}, {""token"": ""tmRNA"", ""start_span"": 257, ""end_span"": 262, ""type"": ""Protein""}, {""token"": ""SmpB"", ""start_span"": 278, ""end_span"": 282, ""type"": ""Protein""}]"
Several ribosomal proteins including RpsM, RpsG, RpmD, and RplN exhibited a marked reduction in both protein and mRNA levels in the Deltahfq mutant strain compared to the wildtype under LB Stat growth condition.	"RpsM	37	41	Protein"	"RpsG	43	47	Protein"	"RpmD	49	53	Protein"	"RplN	59	63	Protein"	"Deltahfq	132	140	Protein"	"[{""token"": ""RpsM"", ""start_span"": 37, ""end_span"": 41, ""type"": ""Protein""}, {""token"": ""RpsG"", ""start_span"": 43, ""end_span"": 47, ""type"": ""Protein""}, {""token"": ""RpmD"", ""start_span"": 49, ""end_span"": 53, ""type"": ""Protein""}, {""token"": ""RplN"", ""start_span"": 59, ""end_span"": 63, ""type"": ""Protein""}, {""token"": ""Deltahfq"", ""start_span"": 132, ""end_span"": 140, ""type"": ""Protein""}]"
These transcriptional profiling data, combined with previous comparative genomic hybridizations performed by our group, revealed that 66 out of the 72 up - regulated genes are conserved amongst all serotypes and that 3 of them code for products that are predicted outer membrane proteins ( genes irp and APL _ 0959, predicted to code for a TonB - dependent receptor and a filamentous hemagglutinin / adhesin respectively) or lipoproteins ( gene APL _ 0920).	"irp	296	299	Protein"	"APL _ 0959	304	314	Protein"	"filamentous hemagglutinin	372	397	Protein"	"adhesin	400	407	Protein"	"APL _ 0920	445	455	Protein"	"[{""token"": ""irp"", ""start_span"": 296, ""end_span"": 299, ""type"": ""Protein""}, {""token"": ""APL _ 0959"", ""start_span"": 304, ""end_span"": 314, ""type"": ""Protein""}, {""token"": ""filamentous hemagglutinin"", ""start_span"": 372, ""end_span"": 397, ""type"": ""Protein""}, {""token"": ""adhesin"", ""start_span"": 400, ""end_span"": 407, ""type"": ""Protein""}, {""token"": ""APL _ 0920"", ""start_span"": 445, ""end_span"": 455, ""type"": ""Protein""}]"
The study by Sheehan et al [ 16], lead to the identification of a second set of exbB - exbD - tonB genes, and it was determined that inactivation of tonB2 and not tonB1 lead to attenuation in vivo [ 17].	"exbB	80	84	Protein"	"exbD	87	91	Protein"	"tonB	94	98	Protein"	"tonB2	149	154	Protein"	"tonB1	163	168	Protein"	"[{""token"": ""exbB"", ""start_span"": 80, ""end_span"": 84, ""type"": ""Protein""}, {""token"": ""exbD"", ""start_span"": 87, ""end_span"": 91, ""type"": ""Protein""}, {""token"": ""tonB"", ""start_span"": 94, ""end_span"": 98, ""type"": ""Protein""}, {""token"": ""tonB2"", ""start_span"": 149, ""end_span"": 154, ""type"": ""Protein""}, {""token"": ""tonB1"", ""start_span"": 163, ""end_span"": 168, ""type"": ""Protein""}]"
Three of these are involved in surface structures, namely LPS and capsule, biosynthesis ( genes kpsF, cps5b and cpxC), and two others are found in phage - associated regions ( APL _ 0512 and APL _ 0524).	"kpsF	96	100	Protein"	"cps5b	102	107	Protein"	"cpxC	112	116	Protein"	"APL _ 0512	176	186	Protein"	"APL _ 0524	191	201	Protein"	"[{""token"": ""kpsF"", ""start_span"": 96, ""end_span"": 100, ""type"": ""Protein""}, {""token"": ""cps5b"", ""start_span"": 102, ""end_span"": 107, ""type"": ""Protein""}, {""token"": ""cpxC"", ""start_span"": 112, ""end_span"": 116, ""type"": ""Protein""}, {""token"": ""APL _ 0512"", ""start_span"": 176, ""end_span"": 186, ""type"": ""Protein""}, {""token"": ""APL _ 0524"", ""start_span"": 191, ""end_span"": 201, ""type"": ""Protein""}]"
Of the last five genes, four are divergent in only one strain ( hktE, fur, phoR and hisH, respectively in reference strains from serotypes 8, 2, 15 and 7), and the APL _ 0999 gene codes for a hypothetical protein that is divergent in serotype 2, 7 - 11 and 14 reference strains.	"hktE	64	68	Protein"	"fur	70	73	Protein"	"phoR	75	79	Protein"	"hisH	84	88	Protein"	"APL _ 0999	164	174	Protein"	"[{""token"": ""hktE"", ""start_span"": 64, ""end_span"": 68, ""type"": ""Protein""}, {""token"": ""fur"", ""start_span"": 70, ""end_span"": 73, ""type"": ""Protein""}, {""token"": ""phoR"", ""start_span"": 75, ""end_span"": 79, ""type"": ""Protein""}, {""token"": ""hisH"", ""start_span"": 84, ""end_span"": 88, ""type"": ""Protein""}, {""token"": ""APL _ 0999"", ""start_span"": 164, ""end_span"": 174, ""type"": ""Protein""}]"
These three genes, namely fhaB ( APL _ 0959), irp ( APL _ 0919) and APL _ 0920, could all represent excellent candidates for the development of a protective cross - serotype subunit vaccine against A. pleuropneumoniae.	"fhaB	26	30	Protein"	"APL _ 0959	33	43	Protein"	"irp	46	49	Protein"	"APL _ 0919	52	62	Protein"	"APL _ 0920	68	78	Protein"	"[{""token"": ""fhaB"", ""start_span"": 26, ""end_span"": 30, ""type"": ""Protein""}, {""token"": ""APL _ 0959"", ""start_span"": 33, ""end_span"": 43, ""type"": ""Protein""}, {""token"": ""irp"", ""start_span"": 46, ""end_span"": 49, ""type"": ""Protein""}, {""token"": ""APL _ 0919"", ""start_span"": 52, ""end_span"": 62, ""type"": ""Protein""}, {""token"": ""APL _ 0920"", ""start_span"": 68, ""end_span"": 78, ""type"": ""Protein""}]"
Several ancestral regulators control the genes in the SPI - 2 genomic island including the two - component systems EnvZ - OmpR and PhoQ - PhoP, and the regulatory protein SlyA [ 13].	"EnvZ	115	119	Protein"	"OmpR	122	126	Protein"	"PhoQ	131	135	Protein"	"PhoP	138	142	Protein"	"SlyA	171	175	Protein"	"[{""token"": ""EnvZ"", ""start_span"": 115, ""end_span"": 119, ""type"": ""Protein""}, {""token"": ""OmpR"", ""start_span"": 122, ""end_span"": 126, ""type"": ""Protein""}, {""token"": ""PhoQ"", ""start_span"": 131, ""end_span"": 135, ""type"": ""Protein""}, {""token"": ""PhoP"", ""start_span"": 138, ""end_span"": 142, ""type"": ""Protein""}, {""token"": ""SlyA"", ""start_span"": 171, ""end_span"": 175, ""type"": ""Protein""}]"
In control screens with the PhoP - alphaNTD fusion, the PhoP box sequence ( G / T) GTTTA was identified in 11% of sequenced preys ( 12 / 109, data not shown) but this sequence was never captured by SsrB - alphaNTD and vice versa, demonstrating specificity of the bacterial one - hybrid system for prokaryotic regulatory proteins.	"PhoP	28	32	Protein"	"alphaNTD	35	43	Protein"	"PhoP	56	60	Protein"	"SsrB	198	202	Protein"	"alphaNTD	205	213	Protein"	"[{""token"": ""PhoP"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Protein""}, {""token"": ""alphaNTD"", ""start_span"": 35, ""end_span"": 43, ""type"": ""Protein""}, {""token"": ""PhoP"", ""start_span"": 56, ""end_span"": 60, ""type"": ""Protein""}, {""token"": ""SsrB"", ""start_span"": 198, ""end_span"": 202, ""type"": ""Protein""}, {""token"": ""alphaNTD"", ""start_span"": 205, ""end_span"": 213, ""type"": ""Protein""}]"
Remarkably, this accounted for 17 of 22 SL1344 genome - encoded effectors translocated by the SPI - 2 - encoded T3SS ( exceptions are chromosomal steA, gogB, and sseK, and plasmid - encoded spvB and spvC).	"steA	146	150	Protein"	"gogB	152	156	Protein"	"sseK	162	166	Protein"	"spvB	190	194	Protein"	"spvC	199	203	Protein"	"[{""token"": ""steA"", ""start_span"": 146, ""end_span"": 150, ""type"": ""Protein""}, {""token"": ""gogB"", ""start_span"": 152, ""end_span"": 156, ""type"": ""Protein""}, {""token"": ""sseK"", ""start_span"": 162, ""end_span"": 166, ""type"": ""Protein""}, {""token"": ""spvB"", ""start_span"": 190, ""end_span"": 194, ""type"": ""Protein""}, {""token"": ""spvC"", ""start_span"": 199, ""end_span"": 203, ""type"": ""Protein""}]"
Our ChIP - on - chip data revealed three additional strong SsrB binding peaks within SPI - 2: one in the IGR directly upstream of ssaR, a second within the CDS for ssaJ, and a third within the CDS for ssaE that would be predicted to influence transcription of the downstream effector / chaperone operon beginning with sseA.	"SsrB	59	63	Protein"	"ssaR	130	134	Protein"	"ssaJ	164	168	Protein"	"ssaE	201	205	Protein"	"sseA	318	322	Protein"	"[{""token"": ""SsrB"", ""start_span"": 59, ""end_span"": 63, ""type"": ""Protein""}, {""token"": ""ssaR"", ""start_span"": 130, ""end_span"": 134, ""type"": ""Protein""}, {""token"": ""ssaJ"", ""start_span"": 164, ""end_span"": 168, ""type"": ""Protein""}, {""token"": ""ssaE"", ""start_span"": 201, ""end_span"": 205, ""type"": ""Protein""}, {""token"": ""sseA"", ""start_span"": 318, ""end_span"": 322, ""type"": ""Protein""}]"
